TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.fasterxml.jackson.core.JsonGenerator,BRANCH,0.5714285714285714,168,95
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.4305669679539852,1217,524
com.fasterxml.jackson.core.json.UTF8JsonGenerator,BRANCH,0.510752688172043,558,286
com.fasterxml.jackson.core.filter.FilteringParserDelegate,BRANCH,0.6055045871559633,327,197
com.fasterxml.jackson.core.filter.FilteringParserDelegate,BRANCH,0.6109422492401215,329,200
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.2763900080580177,1241,347
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.12869924294562973,1453,190
com.fasterxml.jackson.databind.ser.std.StdKeySerializer,BRANCH,1.0,5,5
com.fasterxml.jackson.core.base.ParserMinimalBase,BRANCH,0.2641509433962264,212,56
com.fasterxml.jackson.databind.ser.BeanPropertyWriter,BRANCH,0.5833333333333334,120,69
com.fasterxml.jackson.core.json.async.NonBlockingJsonParser,BRANCH,0.4229607250755287,1324,564
com.fasterxml.jackson.core.json.UTF8JsonGenerator,BRANCH,0.7532467532467533,539,405
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.21536351165980797,1458,316
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,BRANCH,0.6161417322834646,508,311
com.fasterxml.jackson.databind.ser.AnyGetterWriter,BRANCH,0.14285714285714285,14,2
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,BRANCH,0.5641025641025641,39,22
com.fasterxml.jackson.databind.util.StdDateFormat,BRANCH,0.9904761904761905,105,99
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,BRANCH,0.5641025641025641,39,22
com.fasterxml.jackson.databind.JavaType,BRANCH,0.7872340425531915,47,37
com.fasterxml.jackson.databind.introspect.AnnotatedClass,BRANCH,0.8496503496503497,286,243
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.24209078404401652,1454,349
com.fasterxml.jackson.databind.deser.impl.CreatorCollector,BRANCH,0.7802197802197802,91,71
com.fasterxml.jackson.databind.deser.DefaultDeserializationContext,BRANCH,0.6052631578947368,76,46
com.fasterxml.jackson.core.json.UTF8StreamJsonParser,BRANCH,0.2428343949044586,1256,305
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.5548433048433048,1404,773
com.fasterxml.jackson.databind.type.TypeFactory,BRANCH,0.8771929824561403,228,193
com.fasterxml.jackson.databind.ser.BeanSerializerFactory,BRANCH,0.13664596273291926,161,22
com.fasterxml.jackson.databind.ser.BeanSerializerFactory,BRANCH,0.15723270440251572,159,25
com.fasterxml.jackson.databind.deser.std.MapDeserializer,BRANCH,0.42038216560509556,157,66
com.fasterxml.jackson.databind.node.ObjectNode,BRANCH,1.0,119,119
com.fasterxml.jackson.databind.deser.impl.ObjectIdValueProperty,BRANCH,1.0,14,14
